"word","n"
"stay",527617
"apartment",433943
"clean",370546
"location",353242
"host",311116
"nice",282127
"subway",226572
"comfortable",208360
"recommend",207617
"close",188333
"easy",177778
"time",170786
"perfect",161470
"manhattan",144034
"super",138151
"home",137851
"space",127493
"check",122967
"neighborhood",122764
"restaurants",118735
"helpful",116291
"walk",112207
"bed",106837
"quiet",106471
"brooklyn",103105
"friendly",102477
"amazing",99863
"city",99719
"staying",95137
"highly",92575
"experience",88272
"wonderful",86946
"house",85464
"night",77339
"located",77289
"lovely",76059
"convenient",75375
"bathroom",75312
"airbnb",75196
"station",75181
"spacious",74442
"kitchen",73427
"safe",72506
"hosts",70176
"beautiful",68984
"enjoyed",68095
"day",67170
"park",66180
"street",65071
"stayed",64913
"minutes",64797
"walking",64725
"train",63862
"loved",63591
"feel",63282
"cozy",62252
"quick",62171
"excellent",61858
"communication",60460
"metro",60402
"people",57211
"accommodating",54679
"responsive",52325
"questions",50951
"trip",50874
"days",49769
"welcoming",48391
"family",47326
"central",47078
"fantastic",46759
"distance",46071
"visit",45720
"access",45715
"awesome",44969
"shops",43575
"coffee",43363
"arrival",43053
"food",42916
"short",42229
"bars",42165
"times",42135
"bedroom",41865
"extremely",40293
"nearby",39236
"minute",38064
"provided",37825
"building",36882
"local",35146
"plenty",35133
"warm",34880
"late",34714
"spot",34657
"blocks",34530
"amenities",34471
"price",34432
"recommended",33794
"square",33400
"comfy",33376
"living",32892
"cool",32646
"private",32498
"min",32286
"arrived",32000
"love",31712
"para",31588
"absolutely",31201
"flat",30558
"pictures",30501
"person",29980
"couple",29849
"neighbourhood",29658
"pretty",28891
"shower",28704
"floor",28624
"quickly",28271
"door",28170
"cute",28045
"air",27353
"bus",26740
"sleep",26736
"guests",26700
"una",26499
"noise",26409
"parking",26185
"met",25952
"block",25510
"beds",25509
"towels",25487
"appartement",25358
"book",25260
"tips",24953
"williamsburg",24871
"left",24859
"eat",24395
"morning",24017
"corner",24000
"expected",23944
"breakfast",23387
"public",23329
"stores",23216
"nights",22886
"dans",22800
"friends",22714
"water",22713
"equipped",22625
"meet",22309
"transportation",22088
"found",22049
"stylish",21993
"line",21935
"hospitality",21896
"week",21623
"visiting",21609
"pleasant",21575
"light",21544
"helped",21359
"tv",21208
"decorated",21164
"easily",21110
"flexible",21045
"reservation",21001
"todo",20926
"métro",20830
"apt",20644
"respond",20600
"appreciated",20024
"east",20010
"weekend",19863
"photos",19854
"fast",19692
"stations",19624
"hot",19502
"grocery",19350
"stop",19285
"une",19238
"casa",19045
"view",18945
"studio",18871
"airport",18849
"happy",18844
"privacy",18345
"town",18272
"wifi",18178
"canceled",17864
"perfectly",17852
"posting",17712
"hotel",17591
"enjoy",17553
"explore",17349
"extra",17334
"automated",17254
"flight",17243
"hope",17229
"friend",17215
"responded",17012
"fun",17000
"downtown",16953
"avec",16869
"lines",16857
"coming",16814
"return",16806
"recommendations",16527
"wir",16445
"fine",16397
"future",16383
"appartment",16350
"village",16302
"thoughtful",16160
"top",16090
"sweet",15993
"son",15973
"fridge",15906
"store",15880
"jfk",15849
"makes",15819
"l'appartement",15809
"issue",15774
"quartier",15747
"apartamento",15627
"leave",15602
"luggage",15512
"war",15501
"communicate",15470
"por",15461
"heart",15358
"stairs",15306
"travel",15258
"huge",15202
"ideal",15156
"conveniently",15018
"information",14984
"shared",14947
"issues",14886
"ride",14871
"modern",14559
"size",14473
"didn’t",14425
"spent",14415
"avons",14387
"exploring",14382
"noisy",14376
"description",14320
"harlem",14199
"unit",14191
"hospitable",14185
"communicative",14081
"husband",13992
